,importance
NumOfProducts,0.8162842591232938
Age,0.7607452228317215
Geography_Germany,0.23386326621729803
Gender_Male,0.23243947948882987
EngagementProductInteraction,0.19795305025164572
BalanceSalaryRatio,0.17731349832286242
IsActiveMember,0.167907092366145
Balance,0.12543737920986198
EstimatedSalary,0.1135421178847365
AgeTenureInteraction,0.10603954000868782
CreditScore,0.08378822161613982
ProductDensity,0.06205688823859966
Tenure,0.051889832834332295
HasCrCard,0.02634404275615046
Geography_Spain,0.024611559458706033
